credit_amount,checking_status,age,duration,purpose,credit_history,employment,savings_status,property_magnitude,residence_since,installment_commitment,personal_status,job,other_payment_plans,housing,existing_credits,class
1924.0,0,38.0,10.0,6,3,2,1,1,4.0,1.0,3,1,1,1,1.0,1
5848.0,3,24.0,36.0,6,3,2,1,0,1.0,4.0,3,1,1,1,1.0,1
7758.0,2,29.0,24.0,9,1,4,4,2,4.0,2.0,0,1,1,2,1.0,1
6967.0,2,36.0,24.0,0,2,3,2,0,4.0,4.0,3,0,1,2,1.0,1
1282.0,1,20.0,12.0,3,3,2,1,0,4.0,2.0,0,1,1,2,1.0,0
1288.0,1,48.0,9.0,7,1,4,2,3,4.0,3.0,3,1,1,1,2.0,1
339.0,1,45.0,12.0,8,0,4,1,0,1.0,4.0,2,3,0,1,1.0,1
3512.0,2,38.0,24.0,4,3,3,2,0,3.0,2.0,3,1,0,1,2.0,1
1898.0,0,34.0,6.0,6,1,2,0,3,2.0,1.0,3,3,1,1,2.0,1
2872.0,0,36.0,24.0,6,1,4,2,3,4.0,3.0,3,1,1,1,1.0,1
1055.0,0,30.0,18.0,4,1,1,1,1,1.0,4.0,0,1,1,1,2.0,1
1262.0,0,36.0,15.0,1,3,3,3,1,3.0,4.0,3,1,1,1,2.0,1
7308.0,2,70.0,10.0,4,3,0,1,2,4.0,2.0,3,0,0,0,1.0,1
909.0,0,36.0,36.0,4,3,4,3,1,4.0,4.0,3,1,1,1,1.0,1
2978.0,0,32.0,6.0,3,3,2,3,0,2.0,1.0,3,1,1,1,1.0,1
1131.0,1,33.0,18.0,3,3,0,1,0,2.0,4.0,0,1,1,1,1.0,0
1577.0,2,20.0,11.0,3,3,1,4,3,1.0,4.0,0,1,1,1,1.0,1
3972.0,0,25.0,24.0,3,3,3,1,1,4.0,2.0,0,1,1,2,1.0,1
1935.0,2,31.0,24.0,0,1,4,1,3,4.0,4.0,1,1,1,1,2.0,0
950.0,1,33.0,15.0,4,4,4,1,0,3.0,4.0,3,1,1,2,2.0,0
763.0,0,26.0,12.0,3,3,2,1,3,1.0,4.0,0,1,1,1,1.0,1
2064.0,2,34.0,24.0,3,2,0,1,1,2.0,3.0,0,0,1,1,1.0,0
1414.0,2,33.0,8.0,6,3,2,1,3,2.0,4.0,3,1,1,1,1.0,1
3414.0,1,26.0,21.0,2,2,1,1,1,1.0,2.0,3,1,1,1,2.0,0
7485.0,0,53.0,30.0,9,0,0,0,3,1.0,4.0,0,0,0,1,1.0,0
2577.0,1,42.0,12.0,3,3,2,1,0,1.0,2.0,1,1,1,1,1.0,1
338.0,1,52.0,6.0,6,1,4,3,0,4.0,4.0,3,1,1,1,2.0,1
1963.0,0,31.0,12.0,6,3,3,1,0,2.0,4.0,3,0,1,2,2.0,1
571.0,1,65.0,21.0,4,1,4,1,3,4.0,4.0,3,1,1,1,2.0,1
9572.0,0,28.0,36.0,0,2,1,1,0,1.0,1.0,1,1,1,1,2.0,0
4455.0,2,30.0,36.0,0,2,2,1,3,2.0,2.0,1,0,2,1,2.0,0
1647.0,1,40.0,21.0,4,0,2,0,1,2.0,4.0,3,3,1,1,2.0,0
3777.0,0,50.0,24.0,3,1,2,4,3,4.0,4.0,3,1,1,1,1.0,1
884.0,2,36.0,18.0,4,1,4,1,0,4.0,4.0,3,1,0,1,1.0,0
1360.0,0,31.0,15.0,6,1,2,1,1,2.0,4.0,3,1,1,1,2.0,1
5129.0,2,74.0,9.0,9,0,4,1,2,4.0,2.0,0,0,0,0,1.0,0
1175.0,2,68.0,16.0,4,1,0,1,0,3.0,2.0,3,2,1,0,3.0,1
674.0,1,20.0,12.0,6,3,3,2,1,1.0,4.0,2,1,1,1,1.0,0
3244.0,2,33.0,18.0,3,4,2,1,0,4.0,1.0,0,1,0,1,2.0,1
4591.0,0,54.0,24.0,0,3,2,4,1,3.0,2.0,3,0,1,1,3.0,0
3844.0,2,34.0,48.0,0,4,3,2,2,4.0,4.0,3,3,1,0,1.0,0
3915.0,2,36.0,27.0,0,3,2,1,0,2.0,4.0,3,1,1,1,1.0,0
2108.0,0,29.0,6.0,6,3,3,1,3,2.0,2.0,2,1,1,2,1.0,1
3031.0,2,21.0,45.0,6,3,2,2,1,4.0,4.0,3,1,1,2,1.0,0
1501.0,2,34.0,9.0,2,1,4,1,0,3.0,2.0,0,0,1,1,2.0,0
1382.0,0,28.0,6.0,6,1,2,1,0,1.0,1.0,0,1,1,1,2.0,1
951.0,2,27.0,12.0,3,3,1,2,0,4.0,4.0,0,1,0,2,4.0,0
2760.0,2,36.0,24.0,9,3,4,0,2,4.0,4.0,3,1,0,0,1.0,1
4297.0,2,40.0,18.0,3,2,4,1,2,3.0,4.0,1,0,1,1,1.0,0
936.0,0,52.0,9.0,2,1,4,3,0,2.0,4.0,3,1,1,1,2.0,1
1168.0,1,27.0,12.0,4,3,2,1,3,3.0,4.0,2,3,1,1,1.0,1
5117.0,0,26.0,27.0,0,2,3,1,0,4.0,3.0,3,1,1,1,2.0,1
902.0,1,21.0,12.0,8,3,3,1,1,4.0,4.0,2,1,1,2,1.0,0
1495.0,0,38.0,12.0,4,1,4,1,3,1.0,4.0,3,3,1,1,2.0,1
10623.0,1,38.0,30.0,9,1,4,1,2,4.0,3.0,3,0,1,0,3.0,1
1935.0,0,43.0,12.0,3,1,4,1,3,4.0,4.0,3,1,1,1,3.0,1
1424.0,2,26.0,12.0,1,1,3,1,1,3.0,4.0,3,1,1,1,1.0,1
6568.0,1,21.0,24.0,0,3,2,1,0,2.0,2.0,2,3,2,1,1.0,1
1413.0,0,55.0,12.0,9,3,3,4,1,2.0,3.0,3,1,1,1,1.0,1
3074.0,0,33.0,9.0,6,1,2,0,3,2.0,1.0,3,1,1,1,2.0,1
3835.0,0,45.0,36.0,6,3,4,0,3,4.0,2.0,0,3,1,1,1.0,1
5293.0,1,50.0,27.0,0,4,0,1,1,4.0,2.0,3,1,2,1,2.0,0
1908.0,3,66.0,30.0,0,2,4,1,3,4.0,4.0,3,0,1,1,1.0,0
3342.0,0,51.0,36.0,6,1,4,0,0,2.0,4.0,3,1,1,1,1.0,1
932.0,2,39.0,6.0,8,1,3,0,1,3.0,1.0,0,3,1,1,2.0,1
3104.0,1,31.0,18.0,0,4,3,1,1,1.0,3.0,3,1,0,1,1.0,1
3913.0,3,23.0,36.0,6,3,2,1,3,2.0,2.0,3,1,1,1,1.0,1
3021.0,1,24.0,24.0,3,3,2,1,3,2.0,2.0,1,3,1,2,1.0,1
1364.0,0,64.0,10.0,4,3,2,1,0,4.0,2.0,0,1,1,1,1.0,1
625.0,2,26.0,12.0,6,3,1,1,3,1.0,4.0,2,3,0,1,1.0,1
1200.0,1,23.0,12.0,2,3,2,0,1,4.0,4.0,0,1,0,2,1.0,1
707.0,0,30.0,12.0,6,3,2,1,3,2.0,4.0,3,1,0,1,2.0,1
2978.0,0,32.0,24.0,0,2,2,0,3,4.0,4.0,3,1,1,1,2.0,1
4657.0,0,30.0,15.0,9,3,2,1,0,2.0,3.0,3,1,1,1,1.0,1
2613.0,0,27.0,36.0,7,4,2,1,0,2.0,4.0,3,1,1,1,2.0,1
10961.0,2,27.0,48.0,6,3,3,4,2,2.0,1.0,3,1,0,1,2.0,0
7865.0,1,53.0,12.0,3,3,4,1,2,4.0,4.0,3,0,1,0,1.0,0
1478.0,0,22.0,9.0,6,3,3,1,0,2.0,4.0,3,1,1,1,1.0,0
3149.0,1,22.0,24.0,3,3,1,1,2,1.0,4.0,3,1,0,0,1.0,1
4210.0,3,26.0,36.0,6,3,2,1,0,2.0,4.0,3,1,1,1,1.0,0
2507.0,0,51.0,9.0,4,3,4,3,2,4.0,2.0,3,3,1,0,1.0,1
2141.0,0,35.0,12.0,6,3,3,2,2,1.0,3.0,3,1,1,1,1.0,1
866.0,2,25.0,18.0,6,3,2,1,3,2.0,4.0,2,3,1,1,1.0,1
1544.0,0,42.0,4.0,6,1,3,1,3,1.0,2.0,3,3,1,1,3.0,1
1823.0,1,30.0,24.0,6,3,0,1,0,2.0,4.0,3,0,2,1,1.0,0
14555.0,2,23.0,6.0,4,3,0,0,1,2.0,1.0,3,2,1,1,1.0,0
2767.0,2,61.0,21.0,0,3,4,2,0,2.0,4.0,1,3,0,2,2.0,0
1291.0,0,35.0,12.0,6,1,2,1,1,2.0,4.0,0,1,1,1,2.0,1
2522.0,1,39.0,30.0,6,3,4,1,1,3.0,1.0,3,1,1,1,1.0,1
915.0,1,29.0,24.0,4,3,4,0,0,2.0,4.0,0,1,0,1,1.0,0
1595.0,0,51.0,6.0,6,3,3,1,1,2.0,3.0,3,1,1,1,1.0,1
4605.0,1,24.0,48.0,9,4,4,1,2,4.0,3.0,3,1,1,0,2.0,0
1185.0,0,27.0,12.0,0,1,2,1,3,2.0,3.0,0,1,1,1,2.0,1
3447.0,0,35.0,12.0,8,0,2,3,3,3.0,4.0,0,3,1,1,1.0,1
1258.0,0,25.0,24.0,0,3,3,1,3,1.0,4.0,3,1,1,1,1.0,1
717.0,0,52.0,12.0,6,1,4,1,3,4.0,4.0,3,1,1,1,3.0,1
1204.0,0,35.0,6.0,4,4,2,2,2,1.0,4.0,3,1,0,2,1.0,1
1925.0,3,26.0,24.0,3,3,2,1,3,2.0,2.0,3,1,1,1,1.0,1
433.0,0,22.0,18.0,6,3,0,1,3,4.0,3.0,0,1,1,2,1.0,0
666.0,1,39.0,6.0,4,1,3,4,3,4.0,3.0,0,3,1,1,2.0,1
2251.0,3,46.0,12.0,3,3,2,1,0,2.0,1.0,0,3,1,1,1.0,1
2150.0,2,24.0,30.0,4,3,2,1,2,2.0,4.0,0,1,0,1,1.0,0
4151.0,0,35.0,24.0,3,2,2,2,1,3.0,2.0,3,1,1,1,2.0,1
2030.0,2,24.0,9.0,3,3,3,0,0,1.0,2.0,3,1,1,1,1.0,1
7418.0,2,27.0,60.0,6,2,2,0,3,1.0,1.0,3,3,1,1,1.0,1
2684.0,0,35.0,24.0,6,1,2,1,3,2.0,4.0,3,3,1,1,2.0,1
2149.0,1,29.0,12.0,6,0,2,1,2,1.0,4.0,1,1,1,0,1.0,0
3812.0,0,23.0,15.0,9,3,1,2,0,4.0,1.0,0,1,1,1,1.0,1
1154.0,0,57.0,11.0,6,1,0,2,3,4.0,4.0,0,3,1,1,3.0,1
1657.0,1,27.0,12.0,3,3,2,1,3,2.0,2.0,3,1,1,1,1.0,1
1603.0,1,55.0,24.0,6,3,4,1,0,4.0,4.0,0,1,1,1,1.0,1
5302.0,1,36.0,18.0,4,1,4,1,2,4.0,2.0,3,0,1,0,3.0,1
2748.0,0,57.0,12.0,2,1,4,1,2,4.0,2.0,0,3,0,0,3.0,1
1231.0,0,32.0,10.0,4,1,4,1,3,4.0,3.0,3,3,1,1,2.0,1
802.0,2,37.0,15.0,6,3,4,1,0,3.0,4.0,3,1,1,1,1.0,0
6304.0,0,36.0,36.0,0,1,4,0,3,4.0,4.0,3,1,1,1,2.0,1
1533.0,0,38.0,24.0,6,3,1,1,0,3.0,4.0,0,1,2,1,1.0,1
8978.0,1,45.0,14.0,4,3,4,1,1,4.0,1.0,1,0,1,1,1.0,0
999.0,0,25.0,24.0,6,3,4,0,0,2.0,4.0,3,1,1,1,2.0,1
2662.0,0,32.0,18.0,4,3,3,0,1,3.0,4.0,3,1,1,1,1.0,1
1402.0,0,37.0,12.0,3,1,3,3,0,4.0,3.0,0,1,1,2,1.0,1
12169.0,2,36.0,48.0,4,0,0,0,2,4.0,4.0,3,0,1,0,1.0,1
3060.0,2,28.0,48.0,6,3,3,1,3,4.0,4.0,3,1,1,1,2.0,0
11998.0,1,34.0,30.0,7,3,1,1,2,1.0,1.0,1,3,1,1,1.0,0
2697.0,0,32.0,9.0,6,3,2,1,3,2.0,1.0,3,1,1,1,1.0,1
2404.0,0,26.0,18.0,6,1,2,1,0,2.0,2.0,0,1,1,1,2.0,1
1262.0,1,49.0,12.0,3,3,4,0,1,4.0,2.0,1,3,1,1,1.0,1
4611.0,0,32.0,6.0,3,3,1,1,1,4.0,1.0,0,1,1,1,1.0,0
1901.0,0,29.0,24.0,6,3,2,2,0,4.0,4.0,3,0,1,2,1.0,1
3368.0,0,23.0,15.0,9,1,4,4,2,4.0,3.0,3,1,1,2,2.0,1
1574.0,0,50.0,12.0,3,3,2,1,3,2.0,4.0,3,1,1,1,1.0,1
1445.0,3,49.0,18.0,6,0,3,0,0,4.0,4.0,3,3,0,1,1.0,1
1520.0,0,63.0,15.0,3,1,4,0,1,4.0,4.0,3,1,1,1,1.0,1
3878.0,2,37.0,24.0,4,1,1,2,0,2.0,4.0,1,1,1,1,1.0,1
10722.0,1,35.0,47.0,4,3,1,1,3,1.0,1.0,0,3,1,1,1.0,1
4788.0,1,26.0,48.0,9,3,3,1,1,3.0,4.0,3,1,1,1,1.0,1
7582.0,2,31.0,48.0,5,2,0,2,2,4.0,2.0,3,0,1,0,1.0,1
1092.0,2,49.0,12.0,6,3,2,1,3,4.0,4.0,0,1,1,1,2.0,1
1024.0,1,48.0,24.0,6,2,1,1,3,4.0,4.0,2,1,2,1,1.0,0
1076.0,0,26.0,12.0,0,3,2,1,3,2.0,2.0,2,1,1,1,1.0,1
9398.0,2,28.0,36.0,9,3,1,1,0,4.0,1.0,2,0,1,2,1.0,0
6419.0,1,44.0,24.0,9,1,4,1,2,4.0,2.0,0,0,1,0,2.0,1
4796.0,3,56.0,42.0,9,1,4,1,2,4.0,4.0,3,1,1,0,1.0,1
7629.0,0,46.0,48.0,0,1,4,0,0,2.0,4.0,1,0,0,1,2.0,1
9960.0,2,26.0,48.0,3,3,1,1,0,2.0,1.0,0,1,1,1,1.0,0
4675.0,0,20.0,12.0,9,3,1,0,0,4.0,1.0,0,1,1,2,1.0,1
1287.0,0,45.0,10.0,4,3,4,0,1,2.0,4.0,3,3,1,1,1.0,1
2515.0,0,43.0,18.0,3,3,2,1,3,4.0,3.0,3,1,1,1,1.0,1
2745.0,2,32.0,21.0,3,1,3,4,0,2.0,3.0,3,1,1,1,2.0,1
672.0,0,54.0,6.0,4,3,0,1,3,4.0,1.0,0,2,1,1,1.0,1
3804.0,2,42.0,36.0,6,4,2,1,0,1.0,4.0,0,1,1,1,1.0,0
1344.0,3,37.0,24.0,4,1,3,0,3,2.0,4.0,3,3,0,1,2.0,0
1038.0,1,49.0,10.0,4,1,3,1,1,3.0,4.0,3,1,1,1,2.0,1
10127.0,0,44.0,48.0,4,1,2,3,2,2.0,2.0,3,1,0,0,1.0,0
1543.0,0,33.0,6.0,3,3,2,4,3,2.0,4.0,1,1,1,1,1.0,1
4811.0,0,24.0,30.0,9,3,3,0,1,4.0,2.0,0,3,2,2,1.0,1
